iter	Passed	Remaining
297	71901	169378
298	72167	169195
299	72416	168971
300	72650	168714
301	72899	168490
302	73131	168226
303	73378	167997
304	73634	167789
305	73897	167597
306	74156	167394
307	74403	167166
308	74662	166964
309	74912	166740
310	75152	166496
311	75377	166216
312	75644	166030
313	75898	165815
314	76130	165554
315	76379	165327
316	76609	165060
317	76863	164846
318	77101	164596
319	77331	164328
320	77568	164077
321	77806	163828
322	78059	163611
323	78306	163380
324	78543	163128
325	78780	162878
326	79021	162634
327	79264	162394
328	79517	162176
329	79768	161955
330	80009	161711
331	80248	161464
332	80483	161209
333	80715	160947
334	80980	160751
335	81238	160543
336	81486	160312
337	81728	160072
338	81979	159848
339	82230	159624
340	82460	159358
341	82690	159094
342	82908	158806
343	83157	158578
344	83404	158348
345	83653	158119
346	83909	157903
347	84164	157687
348	84399	157432
349	84653	157214
350	84872	156929
351	85114	156688
352	85365	156463
353	85607	156221
354	85862	156004
355	86114	155780
356	86356	155539
357	86582	155268
358	86829	155034
359	87069	154790
360	87273	154481
361	87492	154199
362	87738	153964
363	87966	153699
364	88234	153503
365	88481	153271
366	88734	153048
367	88972	152800
368	89223	152575
369	89478	152355
370	89717	152109
371	89972	151889
372	90221	151659
373	90477	151440
374	90699	151166
375	90954	150945
376	91177	150672
377	91438	150462
378	91679	150218
379	91914	149966
380	92143	149702
381	92397	149480
382	92606	149185
383	92849	148945
384	93082	148690
385	93326	148452
386	93536	148160
387	93794	147944
388	94050	147725
389	94299	147494
390	94547	147261
391	94778	147003
392	95028	146774
393	95258	146514
394	95512	146290
395	95778	146087
396	96035	145866
397	96248	145581
398	96497	145350
